id,x,y,radius,source
1,806,11,37,reference
2,1189,59,52,reference
3,458,63,52,reference
4,107,115,71,reference
5,269,119,63,reference
6,557,90,44,recall
7,1318,111,49,reference
8,473,174,47,reference
9,662,147,54,reference
10,339,203,69,residual
11,792,172,47,reference
12,1646,211,53,recall
13,139,216,37,recall
14,930,216,28,recall
15,689,265,40,reference
16,213,276,51,reference
17,824,272,47,reference
18,1162,289,27,recall
19,1034,242,56,reference
20,947,315,38,reference
21,1264,342,43,reference
22,80,347,96,reference
23,331,387,99,reference
24,1435,387,43,recall
25,855,403,45,reference
26,648,435,48,reference
27,1013,417,27,recall
28,1176,430,29,recall
29,1913,436,59,reference
30,1552,441,45,reference
31,214,454,102,reference
32,1304,457,32,reference
33,762,463,37,reference
34,3022,462,48,recall
35,1756,447,56,reference
36,1291,492,53,recall
37,2056,495,57,recall
38,1018,532,45,reference
39,567,556,70,reference
40,1921,542,75,recall
41,1173,548,59,reference
42,1619,556,51,reference
43,2528,573,40,reference
44,3215,521,73,residual
45,705,577,43,reference
46,2308,593,37,reference
47,3747,593,57,reference
48,1285,607,45,reference
49,403,609,45,reference
50,2103,612,43,reference
51,553,633,59,reference
52,842,636,56,reference
53,2667,741,45,recall
54,1005,660,69,reference
55,3001,663,83,reference
56,88,734,69,reference
57,2803,668,60,reference
58,1873,673,43,reference
59,1419,681,56,reference
60,1739,689,80,reference
61,2218,689,37,reference
62,1095,692,43,reference
63,689,700,32,reference
64,2541,700,29,reference
65,2055,737,40,reference
66,385,745,48,reference
67,3204,748,40,reference
68,822,767,59,reference
69,2370,769,44,recall
70,202,797,54,reference
71,486,783,64,reference
72,2514,791,61,reference
73,1226,794,45,reference
74,2931,802,80,reference
75,943,804,37,reference
76,1560,804,67,reference
77,1702,807,56,reference
78,1400,810,47,recall
79,3361,810,72,reference
80,1841,815,45,reference
81,2170,828,48,reference
82,3102,828,29,reference
83,2031,842,51,reference
84,321,847,53,reference
85,641,850,35,reference
86,2648,860,45,reference
87,13,874,32,reference
88,4075,884,48,reference
89,2341,890,35,reference
90,1091,927,49,recall
91,791,895,29,reference
92,2223,898,43,residual
93,4460,913,75,reference
94,3524,916,45,reference
95,94,919,61,recall
96,940,919,35,reference
97,1878,922,43,reference
98,473,927,56,reference
99,1555,927,91,reference
100,1226,938,35,reference
101,1723,940,32,reference
102,2493,943,32,recall
103,4622,962,32,reference
104,2055,970,61,reference
105,636,991,29,reference
106,2902,998,51,recall
107,3204,997,51,reference
108,2220,999,29,recall
109,3049,999,45,reference
110,232,1002,37,reference
111,746,1023,45,reference
112,3481,1010,40,reference
113,2631,1012,62,reference
114,4783,1026,52,reference
115,3612,1037,35,reference
116,5020,1055,51,reference
117,922,1058,32,reference
118,40,1066,48,reference
119,1723,1074,64,reference
120,385,1077,27,reference
121,1413,1079,43,reference
122,2367,1079,29,reference
123,2763,1082,51,reference
124,1066,1085,40,reference
125,3367,1093,51,reference
126,104,1095,83,reference
127,1878,1095,51,reference
128,1213,1103,56,reference
129,1571,1109,53,reference
130,2525,1122,61,reference
131,3180,1122,32,recall
132,3508,1122,35,reference
133,2057,1125,32,reference
134,526,1128,45,reference
135,5227,1067,94,recall
136,4631,1141,49,reference
137,665,1152,29,reference
138,259,1160,43,reference
139,2902,1160,37,reference
140,2183,1168,64,reference
141,4841,1168,80,reference
142,5058,1173,48,reference
143,1902,1181,99,reference
144,2314,1197,56,reference
145,2672,1197,51,reference
146,1750,1200,43,reference
147,59,1208,91,reference
148,3655,1164,60,reference
149,1029,1216,27,reference
150,4398,1237,53,reference
151,1568,1232,35,reference
152,1186,1234,45,reference
153,3206,1242,32,reference
154,825,1188,48,reference
155,4580,1272,75,reference
156,1360,1264,37,reference
157,235,1266,59,recall
158,3038,1266,56,reference
159,3367,1274,32,reference
160,5255,1221,88,recall
161,2474,1280,53,reference
162,596,1282,67,reference
163,2121,1282,35,reference
164,2789,1285,59,reference
165,3543,1299,61,reference
166,115,1301,51,reference
167,778,1304,69,recall
168,1761,1339,51,reference
169,2268,1339,56,reference
170,3703,1339,32,reference
171,4782,1314,59,reference
172,1924,1371,40,reference
173,2624,1384,43,recall
174,5274,1389,45,reference
175,4309,1371,44,recall
176,3204,1397,32,recall
177,425,1405,48,reference
178,1344,1405,64,reference
179,2859,1411,56,reference
180,3375,1419,40,reference
181,4473,1419,67,reference
182,4673,1427,53,reference
183,174,1440,72,recall
184,5087,1429,75,reference
185,3022,1435,59,reference
186,35,1440,56,reference
187,1187,1457,84,reference
188,2087,1445,32,reference
189,4318,1481,71,reference
190,2447,1451,45,reference
191,3548,1462,40,reference
192,4954,1467,53,reference
193,2741,1472,37,recall
194,623,1475,99,reference
195,3735,1480,43,reference
196,302,1488,43,reference
197,687,1499,75,recall
198,3396,1499,102,recall
199,1510,1470,147,reference
200,1725,1508,42,reference
201,2581,1526,61,reference
202,4542,1533,45,reference
203,2883,1566,32,recall
204,3222,1571,56,reference
205,5396,1562,85,reference
206,598,1582,80,reference
207,2073,1584,40,reference
208,3054,1584,29,reference
209,4791,1584,56,reference
210,1325,1587,64,reference
211,1648,1603,64,reference
212,5173,1603,123,reference
213,970,1576,118,reference
214,40,1611,43,reference
215,2386,1619,45,reference
216,3572,1630,91,reference
217,708,1649,61,reference
218,2717,1651,35,reference
219,224,1654,37,recall
220,4302,1654,43,reference
221,5039,1662,59,reference
222,3388,1670,128,reference
223,462,1675,53,reference
224,4430,1689,32,reference
225,4673,1699,64,reference
226,1836,1702,35,recall
227,3725,1702,86,reference
228,2541,1715,61,reference
229,2899,1729,45,reference
230,887,1734,120,recall
231,2020,1739,43,reference
232,5453,1745,31,recall
233,2151,1750,40,reference
234,5331,1732,75,residual
235,142,1763,86,reference
236,3110,1799,56,reference
237,4120,1767,43,reference
238,1500,1772,69,reference
239,4892,1777,77,reference
240,3599,1787,51,reference
241,361,1793,91,reference
242,5191,1806,67,residual
243,940,1822,67,reference
244,4342,1822,40,reference
245,713,1828,37,reference
246,465,1833,32,reference
247,1184,1825,91,reference
248,1865,1841,51,reference
249,3727,1861,59,reference
250,2813,1857,48,reference
251,1688,1862,72,reference
252,1387,1876,69,reference
253,4558,1881,29,reference
254,21,1884,29,reference
255,2522,1884,75,reference
256,1550,1915,74,reference
257,5376,1913,110,reference
258,534,1916,45,recall
259,2009,1916,48,reference
260,5071,1916,77,reference
261,4809,1945,88,reference
